2nd Activator, 3rd Activator, 2nd Layer Units, 3rd Layer Units, Train ERROR MSE,Test ERROR MSE,Train ERROR MAE,Test ERROR MAE 
Sigmoid,Sigmoid,8,12,0.0033623824543,0.00324550230344,0.0414584759251,0.0414139885227
Sigmoid,Tanh,2,4,0.00531781597592,0.00509079451627,0.0515637389857,0.0509804860674
Sigmoid,Tanh,2,6,0.00544063428612,0.00523605802635,0.0510646478433,0.0506320319947
Sigmoid,Tanh,2,8,0.00510659550565,0.00488900328924,0.0508149069141,0.0502918556164
Sigmoid,Tanh,2,10,0.00517910433352,0.0049803731705,0.0493143917931,0.0488639194771
Sigmoid,Tanh,2,12,0.00513278669172,0.00493485163566,0.050976379361,0.0505121117302
Sigmoid,Tanh,4,4,0.00335027086305,0.00322260959877,0.0415694647331,0.0413426901845
Sigmoid,Tanh,4,6,0.00302180185091,0.00285657105097,0.0385962070372,0.0380472374007
Sigmoid,Tanh,4,8,0.00317476972903,0.00294971282778,0.0388167781178,0.038258753634
Sigmoid,Tanh,4,10,0.00280864220442,0.00276392936207,0.0383587536493,0.0383501584847
Sigmoid,Tanh,4,12,0.00276077969979,0.00264596199245,0.0368786113437,0.0366314320596
Sigmoid,Tanh,6,4,0.00282849286539,0.00268592710883,0.0378613042723,0.0375148858665
Sigmoid,Tanh,6,6,0.00214314944441,0.00209815144202,0.0325732630083,0.0325696411421
Sigmoid,Tanh,6,8,0.00196517000944,0.00184441299295,0.0302731657087,0.0298609561965
Sigmoid,Tanh,6,10,0.00201064733981,0.00193078529165,0.0307704573977,0.0304346881697
Sigmoid,Tanh,6,12,0.00170326088315,0.00161426084496,0.0283397956774,0.0276868860188
Sigmoid,Tanh,8,4,0.00296148032724,0.00278863446518,0.0388511171041,0.038132410811
Sigmoid,Tanh,8,6,0.00209625133888,0.00197415802206,0.0322894956158,0.0319926323142
Sigmoid,Tanh,8,8,0.00181479947495,0.00176573198356,0.0294677238466,0.0292054796165
Sigmoid,Tanh,8,10,0.00140218907215,0.00131914585541,0.0252318723335,0.0246975435716
Sigmoid,Tanh,8,12,0.00115930972038,0.00109615426154,0.024002962196,0.0234602025108
Sigmoid,ExpLin,2,4,0.00558490085576,0.0053624315877,0.0526486987432,0.0519524754208
Sigmoid,ExpLin,2,6,0.00553401163221,0.00532547214815,0.0516020376992,0.0512488117301
Sigmoid,ExpLin,2,8,0.00509703853306,0.00488112338174,0.0507461801537,0.0502393667545
Sigmoid,ExpLin,2,10,0.00529752490675,0.00510058029267,0.0496784407702,0.0492081162495
Sigmoid,ExpLin,2,12,0.00511673555618,0.00491939968906,0.0508595998029,0.0503922359535
Sigmoid,ExpLin,4,4,0.00326365393072,0.00313760020203,0.0408177808511,0.0405889197183
Sigmoid,ExpLin,4,6,0.00314533852215,0.00295609303955,0.0390518694536,0.038555885241
